N;ID;Title;Weight;
3;#3-TG1;Monopoly;35;
5;#5-A1;Helicopter;95;
6;#6-TG2;Chess;35;
14;#14-C4;RFCar;75;
28;#28-C5;RFCar;75;
46;#46-D4;MonsterHigh;40;
48;#48-V8;SpeedBoat;80;
55;#55-R8;RF_Robot;65;
59;#59-V11;Boat;80;
60;#60-C9;SpeedCar;60;
64;#64-R10;SimpleRobot;55;
66;#66-ST8;Kitty;30;
67;#67-V13;Submarine;90;
74;#74-D7;LOL;40;
78;#78-C12;RFCar;75;
87;#87-TG16;Chess;35;
101;#101-C17;SpecialServiceCar;60;
110;#110-V19;SpeedBoat;80;
112;#112-A16;Helicopter;95;
119;#119-A18;Quadcopter;99;
129;#129-TG25;Monopoly;35;
142;#142-TG28;Chess;35;
144;#144-A25;Quadcopter;99;
146;#146-A26;Quadcopter;99;
147;#147-A27;Plane;90;
148;#148-A28;Helicopter;95;
150;#150-ST20;Stitch;30;
159;#159-A30;Helicopter;95;
162;#162-TG32;Constructor;35;
164;#164-TG33;Monopoly;35;
169;#169-V29;SpeedBoat;80;
174;#174-C26;SpeedCar;60;
175;#175-TG35;Constructor;35;
180;#180-A32;Quadcopter;99;
183;#183-A33;Plane;90;
211;#211-D21;MonsterHigh;40;
215;#215-D22;Barbie;40;
216;#216-ST27;TeddyBear;30;
218;#218-TG42;RPG;55;
224;#224-D24;MonsterHigh;40;
229;#229-V38;SpeedBoat;80;
233;#233-TG46;Constructor;35;
250;#250-V42;Submarine;90;
259;#259-TG53;Constructor;35;
262;#262-C39;SpecialServiceCar;60;
273;#273-C44;SpecialServiceCar;60;
274;#274-A41;Plane;90;
275;#275-ST35;TeddyBear;30;
278;#278-ST36;Kitty;30;
289;#289-TG57;RPG;55;
295;#295-A44;Helicopter;95;
304;#304-V49;SpeedBoat;80;
308;#308-TG61;Chess;35;
312;#312-A46;Quadcopter;99;
318;#318-C49;RFCar;75;
327;#327-R37;RF_Robot;65;
335;#335-ST44;Stitch;30;
337;#337-ST45;TeddyBear;30;
341;#341-R38;SimpleRobot;55;
357;#357-D38;Barbie;40;
360;#360-D39;LOL;40;
376;#376-C55;SpecialServiceCar;60;
386;#386-A58;Quadcopter;99;
389;#389-A59;Quadcopter;99;
390;#390-R42;SimpleRobot;55;
391;#391-C59;SpeedCar;60;
395;#395-A60;Quadcopter;99;
398;#398-C61;SpecialServiceCar;60;
407;#407-TG78;Constructor;35;
416;#416-ST55;Stitch;30;
423;#423-ST58;Stitch;30;
430;#430-R45;RF_Robot;65;
431;#431-D47;Barbie;40;
437;#437-C65;SpecialServiceCar;60;
439;#439-C66;SpecialServiceCar;60;
447;#447-V68;SpeedBoat;80;
455;#455-V70;SpeedBoat;80;
459;#459-ST64;Kitty;30;
462;#462-TG90;RPG;55;
468;#468-ST67;TeddyBear;30;
475;#475-ST68;Kitty;30;
483;#483-ST70;Stitch;30;
496;#496-TG97;Monopoly;35;
515;#515-ST75;TeddyBear;30;
522;#522-C79;SpeedCar;60;
524;#524-A84;Plane;90;
528;#528-D59;MonsterHigh;40;
542;#542-V79;Submarine;90;
543;#543-C85;SpeedCar;60;
556;#556-TG106;RPG;55;
560;#560-ST82;TeddyBear;30;
564;#564-C87;SpecialServiceCar;60;
569;#569-V84;Submarine;90;
576;#576-TG109;Chess;35;
580;#580-D65;Barbie;40;
587;#587-C94;SpeedCar;60;
589;#589-C95;SpecialServiceCar;60;
590;#590-V86;Boat;80;
597;#597-D68;MonsterHigh;40;
599;#599-V87;Boat;80;
605;#605-V88;Submarine;90;
611;#611-R56;RF_Robot;65;
622;#622-ST91;TeddyBear;30;
624;#624-A101;Plane;90;
631;#631-D72;LOL;40;
633;#633-C100;SpeedCar;60;
640;#640-A104;Quadcopter;99;
642;#642-TG119;RPG;55;
652;#652-V99;Boat;80;
662;#662-V101;Boat;80;
667;#667-C105;RFCar;75;
677;#677-C109;SpeedCar;60;
680;#680-D77;LOL;40;
695;#695-TG129;Constructor;35;
696;#696-V106;Boat;80;
701;#701-V107;Boat;80;
706;#706-ST103;Stitch;30;
716;#716-ST105;Kitty;30;
719;#719-R65;SimpleRobot;55;
720;#720-TG133;Constructor;35;
722;#722-A113;Plane;90;
723;#723-A114;Helicopter;95;
724;#724-D80;LOL;40;
742;#742-ST107;Stitch;30;
745;#745-TG138;RPG;55;
748;#748-ST109;Kitty;30;
753;#753-TG139;Monopoly;35;
756;#756-V113;Submarine;90;
766;#766-R67;RF_Robot;65;
776;#776-R68;SimpleRobot;55;
788;#788-C129;SpecialServiceCar;60;
793;#793-TG147;Chess;35;
794;#794-D90;LOL;40;
800;#800-D92;MonsterHigh;40;
803;#803-V119;SpeedBoat;80;
808;#808-TG150;Monopoly;35;
809;#809-R72;RF_Robot;65;
819;#819-A131;Helicopter;95;
821;#821-A132;Plane;90;
827;#827-V122;Submarine;90;
833;#833-D97;LOL;40;
839;#839-A134;Plane;90;
841;#841-A136;Helicopter;95;
844;#844-R74;SimpleRobot;55;
847;#847-TG156;RPG;55;
851;#851-V127;SpeedBoat;80;
860;#860-C137;RFCar;75;
864;#864-TG161;Chess;35;
880;#880-TG167;RPG;55;
883;#883-ST127;Stitch;30;
892;#892-TG169;Chess;35;
895;#895-V132;Submarine;90;
900;#900-D108;MonsterHigh;40;
