N;ID;Title;Weight;
2;#2-TG2;RPG;55;
3;#3-V1;SpeedBoat;80;
4;#4-D1;LOL;40;
5;#5-C1;SpeedCar;60;
6;#6-TG3;Chess;50;
7;#7-D2;Barbie;40;
8;#8-A1;Quadcopter;99;
9;#9-ST1;Stitch;30;
10;#10-ST2;Stitch;30;
12;#12-R1;RF_Robot;65;
13;#13-V2;Boat;80;
14;#14-A2;Plane;90;
15;#15-C2;SpeedCar;60;
17;#17-R2;SimpleRobot;55;
19;#19-V3;Submarine;90;
20;#20-V4;Boat;80;
21;#21-V5;Boat;80;
22;#22-TG6;Monopoly;35;
23;#23-C4;SpecialServiceCar;60;
24;#24-V6;SpeedBoat;80;
25;#25-D3;Barbie;40;
26;#26-C5;RFCar;75;
27;#27-A3;Plane;90;
29;#29-C6;SpeedCar;60;
30;#30-ST4;TeddyBear;30;
31;#31-D4;MonsterHigh;40;
32;#32-V7;Boat;80;
34;#34-D5;LOL;40;
35;#35-TG8;Monopoly;35;
36;#36-D6;MonsterHigh;40;
37;#37-A4;Quadcopter;99;
38;#38-TG9;RPG;55;
39;#39-TG10;Monopoly;35;
41;#41-V8;Submarine;90;
42;#42-TG11;Constructor;35;
43;#43-D7;Barbie;40;
44;#44-R3;SimpleRobot;55;
45;#45-A5;Plane;90;
46;#46-V9;SpeedBoat;80;
47;#47-C7;RFCar;75;
48;#48-D8;Barbie;40;
49;#49-C8;RFCar;75;
50;#50-TG12;RPG;55;
51;#51-D9;MonsterHigh;40;
52;#52-C9;SpeedCar;60;
53;#53-ST6;Stitch;30;
54;#54-V10;Submarine;90;
55;#55-R4;RF_Robot;65;
56;#56-V11;Submarine;90;
57;#57-C10;SpeedCar;60;
58;#58-R5;RF_Robot;65;
59;#59-V12;Submarine;90;
60;#60-A6;Quadcopter;99;
61;#61-A7;Quadcopter;99;
62;#62-R6;RF_Robot;65;
63;#63-R7;RF_Robot;65;
64;#64-A8;Helicopter;95;
65;#65-TG13;Monopoly;35;
66;#66-V13;SpeedBoat;80;
67;#67-D10;LOL;40;
68;#68-A9;Plane;90;
69;#69-A10;Helicopter;95;
70;#70-TG14;Chess;50;
71;#71-ST7;TeddyBear;30;
72;#72-ST8;TeddyBear;30;
73;#73-V14;Submarine;90;
74;#74-ST9;Stitch;30;
75;#75-R8;RF_Robot;65;
76;#76-V15;Submarine;90;
77;#77-R9;SimpleRobot;55;
78;#78-ST10;TeddyBear;30;
79;#79-C11;RFCar;75;
82;#82-R10;RF_Robot;65;
83;#83-C12;SpecialServiceCar;60;
84;#84-R11;RF_Robot;65;
85;#85-ST12;TeddyBear;30;
86;#86-TG15;Chess;50;
87;#87-V16;Boat;80;
88;#88-ST13;TeddyBear;30;
89;#89-R12;RF_Robot;65;
90;#90-A11;Plane;90;
91;#91-TG16;Monopoly;35;
92;#92-V17;Boat;80;
93;#93-TG17;RPG;55;
94;#94-C13;RFCar;75;
95;#95-ST14;Kitty;30;
96;#96-TG18;Monopoly;35;
98;#98-R13;RF_Robot;65;
99;#99-TG19;Constructor;35;
100;#100-C14;SpecialServiceCar;60;
101;#101-V18;Boat;80;
102;#102-R14;SimpleRobot;55;
103;#103-TG20;Constructor;35;
104;#104-D13;Barbie;40;
105;#105-ST15;Stitch;30;
106;#106-ST16;Stitch;30;
107;#107-R15;RF_Robot;65;
108;#108-D14;Barbie;40;
109;#109-V19;SpeedBoat;80;
110;#110-ST17;Stitch;30;
111;#111-C15;SpeedCar;60;
113;#113-V20;SpeedBoat;80;
114;#114-TG22;RPG;55;
115;#115-A12;Quadcopter;99;
116;#116-C16;SpecialServiceCar;60;
117;#117-A13;Plane;90;
119;#119-D15;Barbie;40;
120;#120-D16;LOL;40;
121;#121-C18;SpeedCar;60;
122;#122-ST18;Kitty;30;
123;#123-TG23;Constructor;35;
124;#124-A14;Helicopter;95;
125;#125-ST19;TeddyBear;30;
126;#126-R16;RF_Robot;65;
127;#127-V21;SpeedBoat;80;
129;#129-ST21;TeddyBear;30;
130;#130-TG24;Chess;50;
131;#131-V22;SpeedBoat;80;
132;#132-TG25;RPG;55;
133;#133-C19;RFCar;75;
134;#134-TG26;Constructor;35;
136;#136-C20;SpeedCar;60;
