N;ID;Title;Weight;
1;#1-TG1;Monopoly;35;;
2;#2-TG2;RPG;35;;
3;#3-TG3;Chess;35;;
4;#4-V1;Submarine;80;;
5;#5-V2;SpeedBoat;80;;
6;#6-TG4;Constructor;35;;
7;#7-R1;SimpleRobot;0;;
8;#8-ST1;TeddyBear;30;;
9;#9-C1;SpeedCar;60;;
10;#10-TG5;RPG;35;;
11;#11-A1;Quadcopter;0;;
12;#12-V3;SpeedBoat;80;;
13;#13-TG6;Monopoly;35;;
14;#14-D1;LOL;40;;
15;#15-A2;Helicopter;0;;
16;#16-R2;RF_Robot;0;;
17;#17-TG7;Chess;35;;
18;#18-C2;SpeedCar;60;;
19;#19-D2;MonsterHigh;40;;
20;#20-R3;RF_Robot;0;;
21;#21-TG8;Chess;35;;
22;#22-ST2;Kitty;30;;
23;#23-V4;Boat;80;;
24;#24-TG9;Chess;35;;
25;#25-ST3;Stitch;30;;
26;#26-A3;Plane;0;;
27;#27-V5;Submarine;80;;
28;#28-TG10;Constructor;35;;
29;#29-ST4;TeddyBear;30;;
30;#30-A4;Helicopter;0;;
31;#31-D3;Barbie;40;;
32;#32-V6;Boat;80;;
33;#33-D4;LOL;40;;
34;#34-R4;SimpleRobot;0;;
35;#35-TG11;Monopoly;35;;
36;#36-D5;MonsterHigh;40;;
37;#37-A5;Quadcopter;0;;
38;#38-R5;SimpleRobot;0;;
39;#39-TG12;Chess;35;;
40;#40-A6;Helicopter;0;;
41;#41-TG13;Chess;35;;
42;#42-V7;Submarine;80;;
43;#43-R6;SimpleRobot;0;;
44;#44-R7;SimpleRobot;0;;
45;#45-ST5;Stitch;30;;
46;#46-ST6;Stitch;30;;
47;#47-C3;RFCar;60;;
48;#48-ST7;Kitty;30;;
49;#49-V8;Submarine;80;;
50;#50-D6;MonsterHigh;40;;
51;#51-C4;RFCar;60;;
52;#52-TG14;Monopoly;35;;
53;#53-TG15;Monopoly;35;;
54;#54-A7;Helicopter;0;;
55;#55-A8;Plane;0;;
56;#56-R8;SimpleRobot;0;;
57;#57-C5;RFCar;60;;
58;#58-D7;MonsterHigh;40;;
59;#59-D8;MonsterHigh;40;;
60;#60-D9;MonsterHigh;40;;
61;#61-D10;MonsterHigh;40;;
62;#62-R9;SimpleRobot;0;;
63;#63-TG16;RPG;35;;
64;#64-D11;MonsterHigh;40;;
65;#65-ST8;Stitch;30;;
66;#66-ST9;Stitch;30;;
67;#67-D12;LOL;40;;
68;#68-D13;LOL;40;;
69;#69-A9;Plane;0;;
70;#70-C6;RFCar;60;;
71;#71-V9;Boat;80;;
72;#72-TG17;Monopoly;35;;
73;#73-ST10;TeddyBear;30;;
74;#74-ST11;Kitty;30;;
75;#75-C7;SpeedCar;60;;
76;#76-V10;Submarine;80;;
77;#77-A10;Plane;0;;
78;#78-ST12;Stitch;30;;
79;#79-ST13;Stitch;30;;
80;#80-V11;Boat;80;;
81;#81-R10;SimpleRobot;0;;
82;#82-D14;LOL;40;;
83;#83-V12;SpeedBoat;80;;
84;#84-D15;Barbie;40;;
85;#85-C8;RFCar;60;;
86;#86-R11;RF_Robot;0;;
87;#87-TG18;Chess;35;;
88;#88-TG19;Constructor;35;;
89;#89-C9;SpecialServiceCar;60;;
90;#90-C10;SpeedCar;60;;
91;#91-C11;RFCar;60;;
92;#92-C12;SpecialServiceCar;60;;
93;#93-D16;MonsterHigh;40;;
94;#94-TG20;Monopoly;35;;
95;#95-A11;Helicopter;0;;
96;#96-TG21;RPG;35;;
97;#97-ST14;Stitch;30;;
98;#98-D17;Barbie;40;;
99;#99-V13;SpeedBoat;80;;
100;#100-C13;RFCar;60;;
101;#101-D18;LOL;40;;
102;#102-V14;Submarine;80;;
103;#103-A12;Helicopter;0;;
104;#104-A13;Quadcopter;0;;
105;#105-C14;SpecialServiceCar;60;;
106;#106-ST15;TeddyBear;30;;
107;#107-A14;Plane;0;;
108;#108-ST16;Stitch;30;;
109;#109-D19;Barbie;40;;
110;#110-A15;Plane;0;;
111;#111-TG22;Constructor;35;;
112;#112-A16;Helicopter;0;;
113;#113-ST17;Kitty;30;;
114;#114-ST18;Stitch;30;;
115;#115-C15;SpecialServiceCar;60;;
116;#116-V15;Submarine;80;;
117;#117-A17;Helicopter;0;;
118;#118-C16;SpecialServiceCar;60;;
119;#119-C17;SpeedCar;60;;
120;#120-A18;Helicopter;0;;
121;#121-A19;Plane;0;;
122;#122-D20;Barbie;40;;
123;#123-C18;RFCar;60;;
124;#124-TG23;Monopoly;35;;
125;#125-D21;LOL;40;;
126;#126-ST19;Kitty;30;;
127;#127-TG24;RPG;35;;
128;#128-ST20;Kitty;30;;
129;#129-D22;Barbie;40;;
130;#130-A20;Plane;0;;
131;#131-A21;Quadcopter;0;;
132;#132-C19;SpecialServiceCar;60;;
133;#133-C20;SpecialServiceCar;60;;
134;#134-V16;SpeedBoat;80;;
135;#135-A22;Helicopter;0;;
136;#136-ST21;TeddyBear;30;;
137;#137-V17;Submarine;80;;
138;#138-D23;LOL;40;;
139;#139-C21;SpecialServiceCar;60;;
140;#140-TG25;Chess;35;;
141;#141-C22;SpecialServiceCar;60;;
142;#142-TG26;RPG;35;;
143;#143-D24;LOL;40;;
144;#144-TG27;RPG;35;;
145;#145-R12;RF_Robot;0;;
146;#146-D25;MonsterHigh;40;;
147;#147-ST22;TeddyBear;30;;
148;#148-ST23;Stitch;30;;
149;#149-TG28;Chess;35;;
150;#150-V18;Submarine;80;;
151;#151-TG29;RPG;35;;
152;#152-TG30;Constructor;35;;
153;#153-C23;SpecialServiceCar;60;;
154;#154-A23;Plane;0;;
155;#155-TG31;Constructor;35;;
156;#156-ST24;Stitch;30;;
157;#157-A24;Helicopter;0;;
158;#158-A25;Quadcopter;0;;
