N;ID;Title;Weight;
1;#1-R1;RF_Robot;65;
4;#4-ST1;Kitty;30;
12;#12-C2;RFCar;75;
17;#17-TG4;Monopoly;35;
18;#18-V2;Boat;80;
27;#27-C5;SpecialServiceCar;60;
29;#29-A5;Helicopter;95;
33;#33-TG5;Chess;35;
41;#41-TG9;Chess;35;
44;#44-ST7;Kitty;30;
50;#50-C8;SpecialServiceCar;60;
53;#53-ST9;Kitty;30;
60;#60-D7;LOL;40;
70;#70-A13;Helicopter;95;
86;#86-D11;LOL;40;
93;#93-C12;SpecialServiceCar;60;
116;#116-ST21;Stitch;30;
120;#120-V17;Boat;80;
129;#129-D20;MonsterHigh;40;
130;#130-ST24;Kitty;30;
133;#133-D21;Barbie;40;
139;#139-D22;MonsterHigh;40;
143;#143-TG26;RPG;55;
160;#160-ST32;Kitty;30;
164;#164-A29;Quadcopter;99;
167;#167-ST34;TeddyBear;30;
171;#171-A32;Quadcopter;99;
176;#176-D26;MonsterHigh;40;
184;#184-V20;Boat;80;
192;#192-C27;RFCar;75;
220;#220-ST38;Stitch;30;
221;#221-V26;Submarine;90;
229;#229-TG42;Constructor;35;
230;#230-ST39;Stitch;30;
233;#233-R20;SimpleRobot;55;
238;#238-R21;SimpleRobot;55;
240;#240-A39;Plane;90;
252;#252-ST43;TeddyBear;30;
263;#263-V30;Submarine;90;
281;#281-ST47;Kitty;30;
297;#297-A49;Quadcopter;99;
300;#300-D51;Barbie;40;
302;#302-R26;SimpleRobot;55;
307;#307-TG52;Chess;35;
310;#310-D53;MonsterHigh;40;
312;#312-V36;Boat;80;
316;#316-A53;Plane;90;
322;#322-TG53;RPG;55;
326;#326-V37;Boat;80;
329;#329-R28;RF_Robot;65;
332;#332-V38;Boat;80;
338;#338-A58;Plane;90;
342;#342-C47;RFCar;75;
355;#355-R34;RF_Robot;65;
372;#372-ST56;Stitch;30;
375;#375-TG63;Constructor;35;
386;#386-TG67;Constructor;35;
387;#387-TG68;Monopoly;35;
395;#395-C60;RFCar;75;
408;#408-ST58;TeddyBear;30;
410;#410-TG72;Chess;35;
413;#413-C63;SpecialServiceCar;60;
417;#417-C64;SpeedCar;60;
418;#418-C65;RFCar;75;
423;#423-V46;Submarine;90;
429;#429-D75;MonsterHigh;40;
437;#437-D77;LOL;40;
443;#443-ST63;Kitty;30;
444;#444-A73;Helicopter;95;
447;#447-TG77;Monopoly;35;
449;#449-A76;Quadcopter;99;
451;#451-ST64;TeddyBear;30;
463;#463-A78;Quadcopter;99;
469;#469-D82;MonsterHigh;40;
478;#478-C70;SpecialServiceCar;60;
482;#482-TG84;Constructor;35;
487;#487-C72;RFCar;75;
491;#491-C73;RFCar;75;
501;#501-C75;SpeedCar;60;
504;#504-TG87;Chess;35;
512;#512-TG90;RPG;55;
514;#514-D91;Barbie;40;
518;#518-D92;Barbie;40;
521;#521-V51;SpeedBoat;80;
523;#523-V52;Submarine;90;
527;#527-TG92;Monopoly;35;
528;#528-V53;SpeedBoat;80;
531;#531-TG93;Monopoly;35;
532;#532-TG94;Constructor;35;
539;#539-A89;Plane;90;
543;#543-TG95;Monopoly;35;
546;#546-R49;RF_Robot;65;
562;#562-ST86;Stitch;30;
569;#569-ST89;Kitty;30;
580;#580-D94;LOL;40;
590;#590-TG105;Constructor;35;
595;#595-A94;Plane;90;
607;#607-TG107;RPG;55;
620;#620-A97;Helicopter;95;
621;#621-A98;Plane;90;
624;#624-V68;SpeedBoat;80;
626;#626-TG109;Chess;35;
642;#642-TG112;RPG;55;
643;#643-D104;Barbie;40;
655;#655-TG116;Constructor;35;
656;#656-R63;SimpleRobot;55;
660;#660-D108;MonsterHigh;40;
663;#663-A102;Plane;90;
670;#670-TG119;Constructor;35;
671;#671-A104;Quadcopter;99;
673;#673-D109;Barbie;40;
680;#680-V77;Boat;80;
685;#685-C101;SpecialServiceCar;60;
691;#691-A108;Plane;90;
706;#706-D113;Barbie;40;
708;#708-R69;SimpleRobot;55;
712;#712-C105;SpecialServiceCar;60;
715;#715-ST109;Stitch;30;
716;#716-ST110;Stitch;30;
726;#726-A116;Quadcopter;99;
732;#732-TG128;RPG;55;
738;#738-A120;Plane;90;
742;#742-V89;SpeedBoat;80;
744;#744-TG131;Constructor;35;
760;#760-V93;SpeedBoat;80;
761;#761-ST114;TeddyBear;30;
764;#764-TG134;Chess;35;
766;#766-R72;RF_Robot;65;
769;#769-D120;LOL;40;
773;#773-TG135;Monopoly;35;
775;#775-ST116;Stitch;30;
785;#785-A128;Helicopter;95;
794;#794-C110;SpecialServiceCar;60;
796;#796-D126;Barbie;40;
798;#798-D127;LOL;40;
802;#802-C113;SpeedCar;60;
810;#810-ST120;TeddyBear;30;
815;#815-D129;Barbie;40;
826;#826-TG148;RPG;55;
828;#828-D132;LOL;40;
834;#834-TG151;RPG;55;
838;#838-V103;SpeedBoat;80;
840;#840-D134;Barbie;40;
842;#842-R78;SimpleRobot;55;
852;#852-R79;RF_Robot;65;
853;#853-A136;Plane;90;
856;#856-C118;SpeedCar;60;
857;#857-R81;SimpleRobot;55;
869;#869-R84;RF_Robot;65;
874;#874-A141;Helicopter;95;
880;#880-C121;SpeedCar;60;
902;#902-C124;SpecialServiceCar;60;
