N;ID;Title;Weight;
24;#24-ST3;Kitty;30;
54;#54-TG9;Monopoly;35;
61;#61-R4;SimpleRobot;55;
64;#64-TG11;RPG;55;
94;#94-D18;Barbie;40;
99;#99-D20;Barbie;40;
119;#119-R8;RF_Robot;65;
120;#120-TG25;Chess;35;
138;#138-ST20;TeddyBear;30;
170;#170-D29;LOL;40;
175;#175-D30;LOL;40;
188;#188-D34;LOL;40;
226;#226-D40;LOL;40;
238;#238-R14;SimpleRobot;55;
241;#241-TG45;Constructor;35;
278;#278-D48;LOL;40;
286;#286-ST36;Kitty;30;
291;#291-C37;RFCar;75;
305;#305-D50;Barbie;40;
336;#336-D59;Barbie;40;
354;#354-V56;Submarine;90;
372;#372-TG69;Constructor;35;
385;#385-ST50;TeddyBear;30;
387;#387-ST51;TeddyBear;30;
393;#393-R30;RF_Robot;65;
425;#425-ST58;TeddyBear;30;
427;#427-A67;Helicopter;95;
495;#495-ST66;TeddyBear;30;
504;#504-C69;SpecialServiceCar;60;
508;#508-TG97;Chess;35;
512;#512-TG98;Monopoly;35;
519;#519-C73;RFCar;75;
520;#520-C74;SpecialServiceCar;60;
525;#525-R41;RF_Robot;65;
598;#598-TG110;Chess;35;
614;#614-TG114;Chess;35;
624;#624-TG116;Chess;35;
628;#628-TG117;Chess;35;
631;#631-ST82;Stitch;30;
640;#640-TG120;Constructor;35;
643;#643-V94;SpeedBoat;80;
656;#656-D113;LOL;40;
672;#672-TG127;Monopoly;35;
694;#694-D121;Barbie;40;
696;#696-ST89;Kitty;30;
699;#699-TG133;Constructor;35;
758;#758-R61;SimpleRobot;55;
770;#770-TG149;Monopoly;35;
775;#775-TG151;RPG;55;
786;#786-D135;LOL;40;
806;#806-D141;Barbie;40;
821;#821-ST103;Kitty;30;
823;#823-D143;LOL;40;
845;#845-ST105;Kitty;30;
851;#851-D150;Barbie;40;
872;#872-TG168;Constructor;35;
919;#919-ST114;Kitty;30;
923;#923-D164;MonsterHigh;40;
956;#956-ST119;Kitty;30;
958;#958-V140;SpeedBoat;80;
961;#961-TG183;Chess;35;
968;#968-D170;Barbie;40;
969;#969-C138;SpecialServiceCar;60;
976;#976-R82;RF_Robot;65;
