N;ID;Title;Weight;
1;#1-A1;Plane;90;
2;#2-A2;Quadcopter;99;
3;#3-TG1;Monopoly;35;
4;#4-D1;MonsterHigh;40;
5;#5-TG2;Constructor;35;
6;#6-A3;Helicopter;95;
7;#7-A4;Helicopter;95;
8;#8-V1;Boat;80;
9;#9-A5;Plane;90;
10;#10-TG3;Chess;35;
11;#11-A6;Plane;90;
12;#12-C1;RFCar;75;
13;#13-D2;MonsterHigh;40;
14;#14-C2;SpecialServiceCar;60;
15;#15-A7;Helicopter;95;
16;#16-V2;Boat;80;
17;#17-V3;Boat;80;
18;#18-ST1;Stitch;30;
19;#19-R1;RF_Robot;65;
20;#20-ST2;Kitty;30;
21;#21-D3;MonsterHigh;40;
22;#22-D4;Barbie;40;
23;#23-D5;Barbie;40;
25;#25-R2;RF_Robot;65;
26;#26-ST4;TeddyBear;30;
27;#27-A8;Helicopter;95;
28;#28-ST5;Stitch;30;
29;#29-A9;Plane;90;
30;#30-TG4;RPG;55;
31;#31-C3;RFCar;75;
32;#32-V4;SpeedBoat;80;
33;#33-TG5;Monopoly;35;
34;#34-TG6;Chess;35;
35;#35-D6;LOL;40;
36;#36-TG7;Monopoly;35;
37;#37-A10;Helicopter;95;
38;#38-D7;Barbie;40;
39;#39-ST6;TeddyBear;30;
40;#40-ST7;Stitch;30;
41;#41-V5;Boat;80;
42;#42-D8;MonsterHigh;40;
43;#43-V6;Boat;80;
44;#44-D9;MonsterHigh;40;
45;#45-C4;SpeedCar;60;
46;#46-TG8;Monopoly;35;
47;#47-C5;SpeedCar;60;
48;#48-D10;LOL;40;
49;#49-ST8;TeddyBear;30;
50;#50-C6;SpeedCar;60;
51;#51-A11;Helicopter;95;
52;#52-A12;Helicopter;95;
53;#53-V7;SpeedBoat;80;
55;#55-D11;MonsterHigh;40;
56;#56-R3;SimpleRobot;55;
57;#57-V8;SpeedBoat;80;
58;#58-D12;MonsterHigh;40;
59;#59-TG10;Monopoly;35;
60;#60-V9;SpeedBoat;80;
62;#62-A13;Plane;90;
63;#63-V10;Boat;80;
65;#65-TG12;Chess;35;
66;#66-TG13;RPG;55;
67;#67-ST9;TeddyBear;30;
68;#68-D13;MonsterHigh;40;
69;#69-V11;SpeedBoat;80;
70;#70-C7;RFCar;75;
71;#71-TG14;Chess;35;
72;#72-TG15;Chess;35;
73;#73-TG16;RPG;55;
74;#74-TG17;Constructor;35;
75;#75-ST10;TeddyBear;30;
76;#76-TG18;RPG;55;
77;#77-TG19;Chess;35;
78;#78-D14;MonsterHigh;40;
79;#79-V12;Boat;80;
80;#80-ST11;Stitch;30;
81;#81-A14;Helicopter;95;
82;#82-C8;SpecialServiceCar;60;
83;#83-TG20;RPG;55;
84;#84-A15;Helicopter;95;
85;#85-TG21;Monopoly;35;
86;#86-A16;Quadcopter;99;
87;#87-TG22;RPG;55;
88;#88-D15;Barbie;40;
89;#89-V13;SpeedBoat;80;
90;#90-D16;Barbie;40;
91;#91-V14;Submarine;90;
92;#92-D17;LOL;40;
