N;ID;Title;Weight;
1;#1-R1;RF_Robot;65;;
2;#2-TG1;RPG;55;;
3;#3-A1;Quadcopter;99;;
4;#4-ST1;Kitty;30;;
5;#5-V1;Boat;80;;
6;#6-D1;Barbie;40;;
7;#7-ST2;TeddyBear;30;;
8;#8-TG2;Chess;35;;
9;#9-D2;LOL;40;;
10;#10-TG3;RPG;55;;
11;#11-C1;SpecialServiceCar;60;;
12;#12-C2;RFCar;75;;
13;#13-ST3;Stitch;30;;
14;#14-C3;RFCar;75;;
15;#15-C4;RFCar;75;;
16;#16-D3;MonsterHigh;40;;
17;#17-TG4;Monopoly;35;;
18;#18-V2;Boat;80;;
19;#19-ST4;Stitch;30;;
20;#20-ST5;Kitty;30;;
21;#21-D4;LOL;40;;
22;#22-ST6;Stitch;30;;
23;#23-A2;Plane;90;;
24;#24-A3;Helicopter;95;;
25;#25-V3;SpeedBoat;80;;
26;#26-A4;Plane;90;;
27;#27-C5;SpecialServiceCar;60;;
28;#28-R2;RF_Robot;65;;
29;#29-A5;Helicopter;95;;
30;#30-C6;SpeedCar;60;;
31;#31-V4;Boat;80;;
32;#32-V5;Boat;80;;
33;#33-TG5;Chess;35;;
34;#34-TG6;Constructor;35;;
35;#35-A6;Helicopter;95;;
36;#36-A7;Quadcopter;99;;
37;#37-TG7;Monopoly;35;;
38;#38-TG8;Monopoly;35;;
39;#39-R3;SimpleRobot;55;;
40;#40-C7;SpecialServiceCar;60;;
41;#41-TG9;Chess;35;;
42;#42-TG10;RPG;55;;
43;#43-V6;SpeedBoat;80;;
44;#44-ST7;Kitty;30;;
45;#45-ST8;Kitty;30;;
46;#46-A8;Plane;90;;
47;#47-TG11;Constructor;35;;
48;#48-A9;Plane;90;;
49;#49-R4;RF_Robot;65;;
50;#50-C8;SpecialServiceCar;60;;
51;#51-A10;Plane;90;;
52;#52-D5;Barbie;40;;
53;#53-ST9;Kitty;30;;
54;#54-C9;SpecialServiceCar;60;;
55;#55-D6;Barbie;40;;
56;#56-C10;SpecialServiceCar;60;;
57;#57-TG12;Monopoly;35;;
58;#58-V7;Submarine;90;;
59;#59-V8;SpeedBoat;80;;
60;#60-D7;LOL;40;;
61;#61-TG13;Monopoly;35;;
62;#62-ST10;Kitty;30;;
63;#63-TG14;Constructor;35;;
64;#64-A11;Helicopter;95;;
65;#65-ST11;Kitty;30;;
66;#66-TG15;Chess;35;;
67;#67-TG16;Chess;35;;
68;#68-A12;Plane;90;;
69;#69-ST12;TeddyBear;30;;
70;#70-A13;Helicopter;95;;
71;#71-A14;Plane;90;;
72;#72-D8;LOL;40;;
73;#73-TG17;Constructor;35;;
74;#74-ST13;Stitch;30;;
75;#75-TG18;Monopoly;35;;
76;#76-D9;LOL;40;;
77;#77-ST14;Stitch;30;;
78;#78-ST15;Kitty;30;;
79;#79-V9;SpeedBoat;80;;
80;#80-TG19;Chess;35;;
81;#81-V10;Submarine;90;;
82;#82-C11;SpeedCar;60;;
83;#83-ST16;Stitch;30;;
84;#84-D10;LOL;40;;
85;#85-ST17;TeddyBear;30;;
86;#86-D11;LOL;40;;
87;#87-R5;RF_Robot;65;;
88;#88-D12;MonsterHigh;40;;
89;#89-D13;LOL;40;;
90;#90-ST18;TeddyBear;30;;
